,FIPS,date,confirmed_cases,confirmed_cases_smooth,num_visits_movavg_14,num_visitors_nmlz_movavg_14,risk,risk_density_weighted,risk_moving_avg,risk_moving_avg_density_weighted
150,36111.0,2020-03-10,1,2,,,0.00012155162169476295,0.0006712753918127337,,
151,36113.0,2020-03-10,0,1,,,2.3263087554011544e-05,0.00013139525045721917,,
152,36115.0,2020-03-10,0,1,,,2.6181872843851702e-06,1.4788121876641125e-05,,
153,36117.0,2020-03-10,0,1,,,0.0,0.0,,
154,36119.0,2020-03-10,98,99,,,0.4334946202300377,3.3455097748985803,,
155,36121.0,2020-03-10,0,1,,,0.0,0.0,,
156,36123.0,2020-03-10,0,1,,,0.0,0.0,,
157,42103.0,2020-03-10,0,1,,,0.0,0.0,,
158,25003.0,2020-03-11,7,8,,,0.0,0.0,,
159,29095.0,2020-03-11,0,1,,,0.0,0.0,,
160,29183.0,2020-03-11,0,1,,,0.0,0.0,,
161,34003.0,2020-03-11,11,12,,,0.0005602203852438218,0.004646200338797546,,
162,34013.0,2020-03-11,0,1,,,3.4612276110979515e-07,2.7370943442563616e-06,,
163,34017.0,2020-03-11,1,2,,,7.398019982626698e-06,6.96579511283344e-05,,
164,34019.0,2020-03-11,0,1,,,0.0,0.0,,
165,34023.0,2020-03-11,2,3,,,0.0,0.0,,
166,34025.0,2020-03-11,4,5,,,0.00010157821461793255,0.0007298775039815941,,
167,34027.0,2020-03-11,0,1,,,0.0,0.0,,
168,34029.0,2020-03-11,0,1,,,9.201674509225098e-08,6.611747655248331e-07,,
169,34031.0,2020-03-11,1,2,,,4.652950041011066e-06,3.679493137210613e-05,,
170,34035.0,2020-03-11,0,1,,,0.0,0.0,,
171,34037.0,2020-03-11,0,1,,,0.0,0.0,,
172,34039.0,2020-03-11,1,2,,,1.0849936552945738e-05,9.37861970371394e-05,,
173,34041.0,2020-03-11,0,1,,,0.0,0.0,,
174,36001.0,2020-03-11,0,1,,,6.360070776596704e-06,3.5391244815910905e-05,,
175,36003.0,2020-03-11,0,1,,,0.0,0.0,,
176,36005.0,2020-03-11,0,1,,,0.00049539247505009,0.004020222075131392,,
177,36007.0,2020-03-11,0,1,,,0.0,0.0,,
178,36009.0,2020-03-11,0,1,,,0.0,0.0,,
179,36011.0,2020-03-11,0,1,,,0.0,0.0,,
180,36013.0,2020-03-11,0,1,,,2.032982154453989e-06,1.7194933176294618e-05,,
181,36015.0,2020-03-11,0,1,,,0.0,0.0,,
182,36017.0,2020-03-11,0,1,,,0.0,0.0,,
183,36019.0,2020-03-11,0,1,,,0.0,0.0,,
184,36021.0,2020-03-11,0,1,,,0.0,0.0,,
185,36023.0,2020-03-11,0,1,,,0.0,0.0,,
186,36025.0,2020-03-11,0,1,,,0.0,0.0,,
187,36027.0,2020-03-11,0,1,,,5.446173532854575e-06,2.7636308508457263e-05,,
188,36029.0,2020-03-11,0,1,,,1.889194054702711e-06,9.264325690408865e-06,,
189,36031.0,2020-03-11,0,1,,,0.000147170935015712,0.0011358245591136502,,
190,36033.0,2020-03-11,0,1,,,0.0,0.0,,
191,36035.0,2020-03-11,0,1,,,7.418966336297343e-06,4.1904022311233025e-05,,
192,36037.0,2020-03-11,0,1,,,0.0,0.0,,
193,36039.0,2020-03-11,0,1,,,5.760920437957171e-06,5.212795703885822e-05,,
194,36041.0,2020-03-11,0,1,,,0.0,0.0,,
195,36043.0,2020-03-11,0,1,,,0.0,0.0,,
196,36045.0,2020-03-11,0,1,,,0.0,0.0,,
197,36047.0,2020-03-11,0,1,,,7.343499782592324e-06,6.43809360050666e-05,,
198,36049.0,2020-03-11,0,1,,,0.0,0.0,,
199,36051.0,2020-03-11,0,1,,,0.0,0.0,,
200,36053.0,2020-03-11,0,1,,,0.0,0.0,,
201,36055.0,2020-03-11,0,1,,,3.6826833836245504e-07,3.1135851335234887e-06,,
202,36057.0,2020-03-11,0,1,,,5.750652177408355e-06,3.248100156045816e-05,,
203,36059.0,2020-03-11,28,29,,,0.03352632516487311,0.28391656526775405,,
204,36061.0,2020-03-11,55,56,,,0.0010474363699643336,0.011594527073836637,,
205,36063.0,2020-03-11,0,1,,,0.0,0.0,,
206,36065.0,2020-03-11,0,1,,,0.0,0.0,,
207,36067.0,2020-03-11,0,1,,,0.0,0.0,,
208,36069.0,2020-03-11,0,1,,,0.0,0.0,,
209,36071.0,2020-03-11,0,1,,,1.936041797712552e-05,0.00010433440138730284,,
210,36073.0,2020-03-11,0,1,,,0.0,0.0,,
211,36075.0,2020-03-11,0,1,,,0.0,0.0,,
212,36077.0,2020-03-11,0,1,,,0.0,0.0,,
213,36079.0,2020-03-11,0,1,,,0.006989108693039796,0.053938374528631546,,
214,36081.0,2020-03-11,0,1,,,7.702132880356073e-05,0.000645953527752655,,
215,36083.0,2020-03-11,0,1,,,5.854008273138506e-06,3.44913722946882e-05,,
216,36085.0,2020-03-11,0,1,,,7.048660508609642e-07,7.240072674454154e-06,,
217,36087.0,2020-03-11,6,7,,,0.0027356482253946346,0.02074463000376403,,
218,36089.0,2020-03-11,0,1,,,0.0,0.0,,
219,36091.0,2020-03-11,2,3,,,0.00046662962415128413,0.002635631069769287,,
220,36093.0,2020-03-11,0,1,,,1.4739327611752773e-05,8.680430602571972e-05,,
221,36095.0,2020-03-11,0,1,,,0.0,0.0,,
222,36097.0,2020-03-11,0,1,,,0.0,0.0,,
223,36099.0,2020-03-11,0,1,,,2.5274882047851825e-06,1.917392283394928e-05,,
224,36101.0,2020-03-11,0,1,,,0.0,0.0,,
225,36103.0,2020-03-11,6,7,,,0.0014951186632083475,0.012306377865564237,,
226,36105.0,2020-03-11,0,1,,,6.298148878095689e-07,2.9393673562951397e-06,,
227,36107.0,2020-03-11,0,1,,,0.0,0.0,,
228,36109.0,2020-03-11,0,1,,,0.0,0.0,,
229,36111.0,2020-03-11,2,3,,,0.0001111528887650435,0.0005910228628169914,,
230,36113.0,2020-03-11,0,1,,,2.3263087554011544e-05,0.00013139525045721917,,
231,36115.0,2020-03-11,0,1,,,2.6181872843851702e-06,1.4788121876641125e-05,,
232,36117.0,2020-03-11,0,1,,,3.559969814562855e-08,2.2461826635925022e-07,,
233,36119.0,2020-03-11,121,122,,,0.2167527180415219,1.6728000113772088,,
234,36121.0,2020-03-11,0,1,,,0.0,0.0,,
235,36123.0,2020-03-11,0,1,,,0.0,0.0,,
236,42103.0,2020-03-11,0,1,,,0.0,0.0,,
237,25003.0,2020-03-12,9,10,,,0.0,0.0,,
238,29095.0,2020-03-12,0,1,,,0.0,0.0,,
239,29183.0,2020-03-12,0,1,,,0.0,0.0,,
240,34003.0,2020-03-12,13,14,,,0.0013191400004593672,0.010940849198330722,,
241,34013.0,2020-03-12,1,2,,,3.4612276110979515e-07,2.7370943442563616e-06,,
242,34017.0,2020-03-12,1,2,,,8.804646077134823e-06,8.129065487196466e-05,,
243,34019.0,2020-03-12,0,1,,,0.0,0.0,,
244,34023.0,2020-03-12,2,3,,,2.9078768176208768e-05,0.00022943624522426937,,
245,34025.0,2020-03-12,5,6,,,0.00033859404872644183,0.00243292501327198,,
246,34027.0,2020-03-12,1,2,,,0.0,0.0,,
247,34029.0,2020-03-12,0,1,,,3.0672248364083653e-07,2.203915885082777e-06,,
248,34031.0,2020-03-12,1,2,,,4.652950041011066e-06,3.679493137210613e-05,,
249,34035.0,2020-03-12,1,2,,,1.1921607798893284e-07,9.406343878941636e-07,,
250,34037.0,2020-03-12,0,1,,,0.0,0.0,,
251,34039.0,2020-03-12,1,2,,,1.1607441619117176e-05,0.00010225148350866363,,
252,34041.0,2020-03-12,0,1,,,0.0,0.0,,
253,36001.0,2020-03-12,2,3,,,7.05526298375068e-06,3.8818617588210776e-05,,
254,36003.0,2020-03-12,0,1,,,0.0,0.0,,
255,36005.0,2020-03-12,0,1,,,0.00039497383212764827,0.003980092825048529,,
256,36007.0,2020-03-12,0,1,,,0.0,0.0,,
257,36009.0,2020-03-12,0,1,,,0.0,0.0,,
258,36011.0,2020-03-12,0,1,,,0.0,0.0,,
259,36013.0,2020-03-12,0,1,,,4.743371730762814e-06,3.969284187901539e-05,,
260,36015.0,2020-03-12,0,1,,,0.0,0.0,,
261,36017.0,2020-03-12,0,1,,,0.0,0.0,,
262,36019.0,2020-03-12,0,1,,,0.0,0.0,,
263,36021.0,2020-03-12,0,1,,,0.0,0.0,,
264,36023.0,2020-03-12,0,1,,,0.0,0.0,,
265,36025.0,2020-03-12,1,2,,,1.6123419487696725e-08,1.1573943425768275e-07,,
266,36027.0,2020-03-12,1,2,,,1.6356575924139193e-05,8.305056006490447e-05,,
267,36029.0,2020-03-12,0,1,,,3.5264955687783945e-06,1.7293407955429887e-05,,
268,36031.0,2020-03-12,0,1,,,4.099481985524982e-05,0.00031636453815819614,,
269,36033.0,2020-03-12,0,1,,,3.8918398548374867e-08,3.0707254100214666e-07,,
270,36035.0,2020-03-12,0,1,,,7.418966336297343e-06,4.1904022311233025e-05,,
271,36037.0,2020-03-12,0,1,,,0.0,0.0,,
272,36039.0,2020-03-12,0,1,,,1.773558941901275e-05,0.00016899099828096516,,
273,36041.0,2020-03-12,0,1,,,0.0,0.0,,
274,36043.0,2020-03-12,1,2,,,0.0,0.0,,
275,36045.0,2020-03-12,0,1,,,0.0,0.0,,
276,36047.0,2020-03-12,0,1,,,1.8308661114287052e-05,0.00016518406991345377,,
277,36049.0,2020-03-12,0,1,,,0.0,0.0,,
278,36051.0,2020-03-12,0,1,,,0.0,0.0,,
279,36053.0,2020-03-12,0,1,,,0.0,0.0,,
280,36055.0,2020-03-12,2,3,,,8.806153145053272e-07,7.345523387060737e-06,,
281,36057.0,2020-03-12,0,1,,,5.750652177408355e-06,3.248100156045816e-05,,
282,36059.0,2020-03-12,41,42,,,0.07163070120690368,0.6065988137292678,,
283,36061.0,2020-03-12,95,96,,,0.004826339219615968,0.05387370724089351,,
284,36063.0,2020-03-12,0,1,,,1.1703473309995046e-07,8.12997921703903e-07,,
285,36065.0,2020-03-12,0,1,,,0.0,0.0,,
286,36067.0,2020-03-12,0,1,,,2.0653188194108903e-08,1.4347022147715934e-07,,
287,36069.0,2020-03-12,0,1,,,0.0,0.0,,
288,36071.0,2020-03-12,2,3,,,5.555854836110318e-05,0.00029381761185203354,,
289,36073.0,2020-03-12,0,1,,,0.0,0.0,,
290,36075.0,2020-03-12,0,1,,,0.0,0.0,,
291,36077.0,2020-03-12,0,1,,,0.0,0.0,,
292,36079.0,2020-03-12,0,1,,,0.0019363168071049421,0.014942997265092078,,
293,36081.0,2020-03-12,0,1,,,0.00013914215274133223,0.0012070032150737673,,
294,36083.0,2020-03-12,0,1,,,1.039969030585099e-05,6.897563076041927e-05,,
295,36085.0,2020-03-12,0,1,,,2.946775693688596e-06,3.083087951517474e-05,,
296,36087.0,2020-03-12,7,8,,,0.005504093941112724,0.04173677468741292,,
297,36089.0,2020-03-12,0,1,,,0.0,0.0,,
298,36091.0,2020-03-12,3,4,,,0.00046662962415128413,0.002635631069769287,,
299,36093.0,2020-03-12,0,1,,,1.6808085715945347e-05,0.00010239765188835546,,
300,36095.0,2020-03-12,0,1,,,0.0,0.0,,
301,36097.0,2020-03-12,0,1,,,0.0,0.0,,
302,36099.0,2020-03-12,0,1,,,1.8134727869333683e-05,0.00013757289633358608,,
303,36101.0,2020-03-12,0,1,,,0.0,0.0,,
304,36103.0,2020-03-12,20,21,,,0.007651196433753615,0.05915550963592569,,
305,36105.0,2020-03-12,0,1,,,6.298148878095689e-07,2.9393673562951397e-06,,
306,36107.0,2020-03-12,0,1,,,0.0,0.0,,
307,36109.0,2020-03-12,0,1,,,0.0,0.0,,
308,36111.0,2020-03-12,4,5,,,0.00030496150457754497,0.001553160738385273,,
309,36113.0,2020-03-12,0,1,,,2.3263087554011544e-05,0.00013139525045721917,,
310,36115.0,2020-03-12,0,1,,,2.6181872843851702e-06,1.4788121876641125e-05,,
311,36117.0,2020-03-12,0,1,,,3.559969814562855e-08,2.2461826635925022e-07,,
312,36119.0,2020-03-12,148,149,,,0.05998413906106006,0.4629481629492269,,
313,36121.0,2020-03-12,0,1,,,0.0,0.0,,
314,36123.0,2020-03-12,0,1,,,0.0,0.0,,
315,42103.0,2020-03-12,1,2,,,0.0,0.0,,
316,25003.0,2020-03-13,9,10,,,0.0,0.0,,
317,29095.0,2020-03-13,0,1,,,0.0,0.0,,
318,29183.0,2020-03-13,0,1,,,0.0,0.0,,
319,34003.0,2020-03-13,15,16,,,0.0006068207124938993,0.00503271386526011,,
320,34013.0,2020-03-13,3,4,,,7.721853549656325e-06,6.729788193503709e-05,,
321,34017.0,2020-03-13,4,5,,,7.606121674781466e-06,7.136926619746075e-05,,
322,34019.0,2020-03-13,0,1,,,0.0,0.0,,
323,34023.0,2020-03-13,6,7,,,2.9078768176208768e-05,0.00022943624522426937,,
324,34025.0,2020-03-13,8,9,,,0.0005078910730896628,0.0036493875199079704,,
325,34027.0,2020-03-13,3,4,,,1.0684260637166348e-05,7.451525165358958e-05,,
326,34029.0,2020-03-13,1,2,,,6.829585002602245e-07,4.623719447502348e-06,,
327,34031.0,2020-03-13,2,3,,,4.7299637097050406e-06,3.733204789316281e-05,,
328,34035.0,2020-03-13,1,2,,,7.366585254889559e-06,5.162739162878997e-05,,
329,34037.0,2020-03-13,0,1,,,0.0,0.0,,
330,34039.0,2020-03-13,1,2,,,1.178450453170375e-05,0.00010423020067567012,,
331,34041.0,2020-03-13,0,1,,,0.0,0.0,,
332,36001.0,2020-03-13,2,3,,,0.0001528714921578772,0.0009620374985890933,,
333,36003.0,2020-03-13,0,1,,,0.0,0.0,,
334,36005.0,2020-03-13,0,1,,,0.00042817178783643116,0.004407001743684068,,
335,36007.0,2020-03-13,1,2,,,1.7770787934523532e-06,6.079239044893408e-06,,
336,36009.0,2020-03-13,0,1,,,0.0,0.0,,
337,36011.0,2020-03-13,0,1,,,0.0,0.0,,
338,36013.0,2020-03-13,0,1,,,9.002686162370835e-06,7.14473809467663e-05,,
339,36015.0,2020-03-13,0,1,,,0.0,0.0,,
340,36017.0,2020-03-13,0,1,,,0.0,0.0,,
341,36019.0,2020-03-13,0,1,,,0.0,0.0,,
342,36021.0,2020-03-13,0,1,,,1.4163136164013398e-06,9.022662314618481e-06,,
343,36023.0,2020-03-13,0,1,,,0.0,0.0,,
344,36025.0,2020-03-13,1,2,,,0.00015952399933654766,0.0005457789428981748,,
345,36027.0,2020-03-13,3,4,,,0.00022447513478984367,0.0012824372688165805,,
346,36029.0,2020-03-13,0,1,,,5.913218130131848e-06,2.9519500913665588e-05,,
347,36031.0,2020-03-13,0,1,,,3.557781449131637e-05,0.00027451476217083107,,
348,36033.0,2020-03-13,0,1,,,3.8918398548374867e-08,3.0707254100214666e-07,,
349,36035.0,2020-03-13,0,1,,,1.4929850407447565e-05,8.445411516065085e-05,,
350,36037.0,2020-03-13,0,1,,,0.0,0.0,,
