,COUNTY,STATE,COUNTYFIPS
956,HANCOCK,ME,23009
958,HANCOCK,OH,39063
961,HANOVER,VA,51085
969,HARDIN,KY,21093
970,HARDIN,OH,39065
972,HARDIN,TX,48199
973,HARFORD,MD,24025
974,HARLAN,KY,21095
977,HARNETT,NC,37085
982,HARRIS,TX,48201
983,HARRIS,TX,48339
988,HARRISON,MS,28047
991,HARRISON,WV,54033
992,HARRISONBURG,VA,51660
993,HART,GA,13147
1001,HAWAII,HI,15001
1010,HENDERSON,TX,48213
1011,HENDRICKS,IN,18063
1013,HENNEPIN,MN,27053
1014,HENRICO,VA,51087
1015,HENRY,GA,13151
1016,HENRY,IA,19087
1017,HENRY,IL,17073
1018,HENRY,IN,18065
1020,HENRY,OH,39069
1023,HERNANDO,FL,12053
1024,HERTFORD,NC,37091
1025,HICKMAN,TN,47081
1026,HIDALGO,TX,48215
1028,HIGHLANDS,FL,12055
1031,HILLSBOROUGH,FL,12057
1032,HILLSBOROUGH,NH,33011
1033,HILLSDALE,MI,26059
1034,HINDS,MS,28049
1035,HOCKING,OH,39073
1038,HOKE,NC,37093
1039,HOLMES,MS,28051
1040,HOLMES,OH,39075
1042,HONOLULU,HI,15003
1045,HOPEWELL,VA,51670
1048,HORRY,SC,45051
1053,HOUSTON,GA,13153
1058,HOWARD,IN,18067
1059,HOWARD,MD,24027
1062,HOWELL,MO,29091
1064,HUDSON,NJ,34017
1068,HUMACAO,PR,72069
1075,HUNTERDON,NJ,34019
1076,HUNTINGDON,PA,42061
1079,HURON,OH,39077
1082,IBERIA,LA,22045
1088,INDIAN RIVER,FL,12061
1089,INDIANA,PA,42063
1090,INGHAM,MI,26065
1092,IONIA,MI,26067
1094,IOWA,IA,19095
1096,IREDELL,NC,37097
1104,ISLAND,WA,53029
1110,JACKSON,FL,12063
1113,JACKSON,IL,17077
1119,JACKSON,MO,29095
1121,JACKSON,NC,37099
1128,JAMES CITY,VA,51095
1131,JASPER,IN,18073
1132,JASPER,MO,29097
1143,JEFFERSON,IL,17081
1146,JEFFERSON,KY,21111
1147,JEFFERSON,LA,22051
1148,JEFFERSON,MO,29099
1152,JEFFERSON,OH,39081
1154,JEFFERSON,PA,42065
1156,JEFFERSON,TX,48245
1159,JEFFERSON,WV,54037
1160,JEFFERSON DAVIS,LA,22053
1163,JENNINGS,IN,18079
1165,JEROME,ID,16053
1166,JERSEY,IL,17083
