	AreaName	Total area in square miles 1990	Total area in square miles 2000	Land area in square miles 1980	Land area in square miles 1990	Land area in square miles 2000	Land area in square miles 2010	Water area in square miles 1990	Water area in square miles 2000	county	state
1589	Pettis, MO	686.38	686.34	686.2	685.03	684.82	682.22	1.35	1.52	Pettis	 MO
1590	Phelps, MO	674.32	674.28	673.56	672.89	672.85	671.78	1.43	1.43	Phelps	 MO
1591	Pike, MO	684.84	684.81	673.34	672.93	672.82	670.44	11.91	11.99	Pike	 MO
1592	Platte, MO	427.26	427.22	421.11	420.37	420.33	420.19	6.89	6.89	Platte	 MO
1593	Polk, MO	642.51	642.46	636.09	637.25	637.2	635.52	5.26	5.26	Polk	 MO
1594	Pulaski, MO	551.44	551.41	549.88	547.05	547.02	547.1	4.39	4.39	Pulaski	 MO
1595	Putnam, MO	519.7	519.66	520.47	517.96	517.9	517.32	1.74	1.76	Putnam	 MO
1596	Ralls, MO	483.84	483.82	481.57	471.03	471.0	469.78	12.81	12.82	Ralls	 MO
1597	Randolph, MO	487.69	487.65	476.86	482.43	482.32	482.68	5.26	5.33	Randolph	 MO
1598	Ray, MO	573.62	573.57	568.43	569.51	569.47	568.81	4.11	4.11	Ray	 MO
1599	Reynolds, MO	814.47	814.41	808.5	811.26	811.2	808.48	3.21	3.21	Reynolds	 MO
1600	Ripley, MO	631.71	631.66	631.49	629.51	629.47	629.54	2.2	2.2	Ripley	 MO
1601	St. Charles, MO	593.54	592.35	557.84	561.44	560.42	560.44	32.1	31.93	St. Charles	 MO
1602	St. Clair, MO	701.95	701.9	698.51	676.72	676.66	669.98	25.23	25.25	St. Clair	 MO
1603	Ste. Genevieve, MO	508.96	508.94	503.84	502.42	502.39	499.15	6.54	6.55	Ste. Genevieve	 MO
1604	St. Francois, MO	452.43	452.4	451.11	449.5	449.46	451.89	2.93	2.94	St. Francois	 MO
1605	St. Louis, MO	523.61	523.69	505.55	507.76	507.81	507.8	15.85	15.89	St. Louis	 MO
1606	Saline, MO	764.62	764.59	754.78	755.58	755.55	755.5	9.04	9.04	Saline	 MO
1607	Schuyler, MO	308.18	308.16	308.6	307.89	307.87	307.3	0.29	0.29	Schuyler	 MO
1608	Scotland, MO	439.29	439.25	438.4	438.5	438.47	436.67	0.79	0.79	Scotland	 MO
1609	Scott, MO	426.06	426.04	422.94	421.04	421.01	419.99	5.02	5.03	Scott	 MO
1610	Shannon, MO	1004.05	1003.99	1003.8	1003.9	1003.83	1003.82	0.15	0.15	Shannon	 MO
1611	Shelby, MO	502.45	502.43	500.83	500.91	500.93	500.86	1.54	1.49	Shelby	 MO
1612	Stoddard, MO	828.99	828.94	815.0	827.19	827.12	823.22	1.8	1.82	Stoddard	 MO
1613	Stone, MO	510.95	510.91	450.9	463.27	463.22	464.03	47.68	47.68	Stone	 MO
1614	Sullivan, MO	651.48	651.43	651.45	651.0	650.95	647.98	0.48	0.48	Sullivan	 MO
1615	Taney, MO	651.53	651.48	607.76	632.41	632.36	632.44	19.12	19.12	Taney	 MO
1616	Texas, MO	1179.33	1179.24	1180.42	1178.64	1178.54	1177.27	0.69	0.7	Texas	 MO
1617	Vernon, MO	837.11	837.04	836.99	834.02	833.95	826.4	3.09	3.09	Vernon	 MO
1618	Warren, MO	437.76	437.74	429.28	431.7	431.31	428.6	6.06	6.43	Warren	 MO
1619	Washington, MO	762.5	762.46	762.23	759.85	759.59	759.91	2.65	2.87	Washington	 MO
1620	Wayne, MO	774.13	774.09	762.41	761.08	761.03	759.18	13.05	13.05	Wayne	 MO
1621	Webster, MO	593.74	593.69	593.72	593.41	593.32	592.56	0.33	0.37	Webster	 MO
1622	Worth, MO	266.77	266.75	266.16	266.54	266.52	266.61	0.23	0.23	Worth	 MO
1623	Wright, MO	683.24	683.18	682.3	682.35	682.13	681.77	0.89	1.05	Wright	 MO
1624	St. Louis city, MO	66.15	66.15	61.4	61.93	61.92	61.91	4.22	4.23	St. Louis city	 MO
1625	MONTANA	147046.16	147042.4	145388.15	145556.34	145552.43	145545.8	1489.82	1489.96		
1626	Beaverhead, MT	5572.35	5572.04	5528.53	5542.62	5542.31	5541.62	29.73	29.73	Beaverhead	 MT
1627	Big Horn, MT	5014.72	5014.65	4982.52	4994.88	4994.81	4995.46	19.84	19.84	Big Horn	 MT
1628	Blaine, MT	4238.98	4238.92	4257.4	4226.24	4226.18	4227.55	12.74	12.74	Blaine	 MT
1629	Broadwater, MT	1238.94	1238.94	1188.52	1191.49	1191.35	1192.54	47.45	47.59	Broadwater	 MT
1630	Carbon, MT	2062.26	2062.19	2055.94	2048.07	2047.99	2048.79	14.19	14.2	Carbon	 MT
1631	Carter, MT	3348.41	3348.29	3342.43	3339.68	3339.57	3340.75	8.73	8.73	Carter	 MT
1632	Cascade, MT	2711.74	2711.65	2698.8	2698.02	2697.9	2698.16	13.72	13.75	Cascade	 MT
1633	Chouteau, MT	3997.13	3997.0	3987.47	3973.43	3973.24	3972.49	23.7	23.76	Chouteau	 MT
1634	Custer, MT	3793.37	3793.22	3775.91	3783.28	3783.13	3783.36	10.09	10.09	Custer	 MT
1635	Daniels, MT	1426.57	1426.52	1426.9	1426.14	1426.09	1426.11	0.43	0.43	Daniels	 MT
1636	Dawson, MT	2383.23	2383.13	2374.03	2373.27	2373.14	2371.87	9.96	9.99	Dawson	 MT
1637	Deer Lodge, MT	741.27	741.16	740.21	736.93	736.98	736.53	4.34	4.19	Deer Lodge	 MT
1638	Fallon, MT	1623.06	1623.02	1622.86	1620.37	1620.33	1620.77	2.69	2.69	Fallon	 MT
1639	Fergus, MT	4350.51	4350.36	4340.14	4339.31	4339.17	4339.8	11.2	11.2	Fergus	 MT
1640	Flathead, MT	5256.6	5256.45	5112.36	5098.6	5098.34	5087.66	158.0	158.11	Flathead	 MT
1641	Gallatin, MT	2532.73	2631.84	2509.78	2506.85	2605.84	2602.69	25.88	26.0	Gallatin	 MT
1642	Garfield, MT	4847.66	4847.54	4491.16	4668.18	4668.06	4675.36	179.48	179.48	Garfield	 MT
1643	Glacier, MT	3037.12	3037.11	2994.46	2994.75	2994.72	2995.94	42.37	42.39	Glacier	 MT
1644	Golden Valley, MT	1176.42	1176.4	1171.69	1175.32	1175.3	1175.34	1.1	1.1	Golden Valley	 MT
1645	Granite, MT	1733.17	1733.11	1729.19	1727.52	1727.44	1727.42	5.65	5.67	Granite	 MT
