	AreaName	Total area in square miles 1990	Total area in square miles 2000	Land area in square miles 1980	Land area in square miles 1990	Land area in square miles 2000	Land area in square miles 2010	Water area in square miles 1990	Water area in square miles 2000	county	state
735	Fountain, IN	397.95	397.92	397.95	395.72	395.69	395.66	2.23	2.23	Fountain	 IN
736	Franklin, IN	391.36	391.34	385.2	386.03	386.0	384.43	5.33	5.33	Franklin	 IN
737	Fulton, IN	371.39	371.37	369.22	368.52	368.51	368.39	2.87	2.87	Fulton	 IN
738	Gibson, IN	499.08	499.05	489.7	488.86	488.78	487.49	10.22	10.27	Gibson	 IN
739	Grant, IN	414.84	414.83	414.86	414.03	414.03	414.07	0.81	0.81	Grant	 IN
740	Greene, IN	545.95	545.91	545.81	542.14	541.73	542.5	3.81	4.18	Greene	 IN
741	Hamilton, IN	402.75	402.73	398.49	398.02	397.94	394.27	4.73	4.79	Hamilton	 IN
742	Hancock, IN	306.75	306.73	307.02	306.18	306.12	306.02	0.57	0.61	Hancock	 IN
743	Harrison, IN	486.91	486.88	486.02	485.25	485.22	484.52	1.66	1.66	Harrison	 IN
744	Hendricks, IN	408.9	408.88	408.85	408.42	408.39	406.91	0.48	0.48	Hendricks	 IN
745	Henry, IN	394.93	394.9	394.39	392.96	392.93	391.88	1.97	1.97	Henry	 IN
746	Howard, IN	293.94	293.93	293.05	293.08	293.07	293.06	0.86	0.86	Howard	 IN
747	Huntington, IN	387.95	387.94	366.15	382.6	382.59	382.65	5.35	5.35	Huntington	 IN
748	Jackson, IN	513.79	513.75	513.32	509.35	509.31	509.31	4.44	4.44	Jackson	 IN
749	Jasper, IN	561.26	561.22	561.44	559.9	559.87	559.63	1.36	1.36	Jasper	 IN
750	Jay, IN	383.84	383.82	384.04	383.66	383.64	383.91	0.18	0.18	Jay	 IN
751	Jefferson, IN	362.97	362.94	362.63	361.39	361.37	360.63	1.58	1.58	Jefferson	 IN
752	Jennings, IN	378.38	378.35	378.25	377.25	377.22	376.58	1.13	1.13	Jennings	 IN
753	Johnson, IN	321.58	321.56	321.38	320.22	320.19	320.43	1.36	1.36	Johnson	 IN
754	Knox, IN	524.08	524.06	519.6	515.86	515.83	516.03	8.22	8.22	Knox	 IN
755	Kosciusko, IN	554.36	554.34	539.66	537.52	537.5	531.38	16.84	16.84	Kosciusko	 IN
756	LaGrange, IN	386.73	386.72	379.94	379.58	379.56	379.62	7.15	7.15	LaGrange	 IN
757	Lake, IN	626.38	626.34	500.9	497.03	496.98	498.96	129.35	129.36	Lake	 IN
758	LaPorte, IN	613.09	613.04	600.4	598.28	598.24	598.3	14.81	14.8	LaPorte	 IN
759	Lawrence, IN	452.1	452.07	452.08	448.87	448.83	449.17	3.23	3.24	Lawrence	 IN
760	Madison, IN	452.94	452.91	452.83	452.16	452.13	451.92	0.78	0.78	Madison	 IN
761	Marion, IN	403.11	403.04	396.01	396.41	396.25	396.3	6.7	6.79	Marion	 IN
762	Marshall, IN	449.95	449.92	444.22	444.3	444.27	443.63	5.65	5.65	Marshall	 IN
763	Martin, IN	340.55	340.53	338.73	336.16	336.14	335.74	4.39	4.39	Martin	 IN
764	Miami, IN	377.38	377.36	369.28	375.76	375.62	373.84	1.62	1.74	Miami	 IN
765	Monroe, IN	411.34	411.32	384.66	394.37	394.35	394.51	16.97	16.97	Monroe	 IN
766	Montgomery, IN	505.39	505.34	504.86	504.58	504.51	504.61	0.81	0.83	Montgomery	 IN
767	Morgan, IN	409.41	409.39	409.24	406.49	406.47	403.97	2.92	2.92	Morgan	 IN
768	Newton, IN	403.56	403.53	400.91	401.88	401.85	401.76	1.68	1.68	Newton	 IN
769	Noble, IN	417.63	417.61	412.59	411.13	411.11	410.84	6.5	6.5	Noble	 IN
770	Ohio, IN	87.48	87.47	87.18	86.73	86.72	86.14	0.75	0.75	Ohio	 IN
771	Orange, IN	408.23	408.2	408.18	399.55	399.52	398.39	8.68	8.68	Orange	 IN
772	Owen, IN	387.85	387.83	386.35	385.21	385.18	385.29	2.64	2.65	Owen	 IN
773	Parke, IN	450.12	450.1	443.55	444.82	444.77	444.66	5.3	5.32	Parke	 IN
774	Perry, IN	386.36	386.34	381.53	381.41	381.39	381.73	4.95	4.95	Perry	 IN
775	Pike, IN	341.1	341.08	340.83	336.19	336.18	334.24	4.91	4.91	Pike	 IN
776	Porter, IN	521.64	521.61	418.48	418.21	418.11	418.15	103.43	103.5	Porter	 IN
777	Posey, IN	419.47	419.45	409.46	408.52	408.5	409.57	10.95	10.95	Posey	 IN
778	Pulaski, IN	434.59	434.57	434.54	433.7	433.68	433.65	0.89	0.89	Pulaski	 IN
779	Putnam, IN	482.61	482.58	481.88	480.34	480.31	480.53	2.27	2.27	Putnam	 IN
780	Randolph, IN	453.27	453.23	453.52	452.91	452.83	452.38	0.36	0.39	Randolph	 IN
781	Ripley, IN	447.95	447.91	447.18	446.4	446.36	446.43	1.55	1.55	Ripley	 IN
782	Rush, IN	408.65	408.62	408.23	408.34	408.28	408.12	0.31	0.34	Rush	 IN
783	St. Joseph, IN	460.97	460.97	459.09	457.34	457.34	457.85	3.63	3.63	St. Joseph	 IN
784	Scott, IN	192.74	192.73	191.47	190.4	190.39	190.4	2.34	2.34	Scott	 IN
785	Shelby, IN	413.14	413.11	412.52	412.67	412.64	411.15	0.47	0.47	Shelby	 IN
786	Spencer, IN	401.26	401.23	400.15	398.72	398.69	396.74	2.54	2.55	Spencer	 IN
787	Starke, IN	312.33	312.31	309.43	309.33	309.31	309.13	3.0	3.0	Starke	 IN
788	Steuben, IN	322.5	322.48	307.96	308.74	308.72	308.94	13.76	13.76	Steuben	 IN
789	Sullivan, IN	454.08	454.04	452.25	447.23	447.2	447.14	6.85	6.85	Sullivan	 IN
790	Switzerland, IN	223.54	223.52	223.42	221.2	221.18	220.63	2.34	2.34	Switzerland	 IN
791	Tippecanoe, IN	503.12	503.07	501.69	499.84	499.79	499.81	3.28	3.28	Tippecanoe	 IN
792	Tipton, IN	260.43	260.41	260.44	260.41	260.39	260.54	0.02	0.02	Tipton	 IN
793	Union, IN	165.26	165.25	162.49	161.56	161.55	161.22	3.7	3.7	Union	 IN
794	Vanderburgh, IN	235.76	235.74	236.07	234.59	234.57	233.48	1.17	1.16	Vanderburgh	 IN
795	Vermillion, IN	259.95	259.94	260.02	256.9	256.89	256.88	3.05	3.05	Vermillion	 IN
796	Vigo, IN	410.5	410.47	405.17	403.33	403.29	403.31	7.17	7.17	Vigo	 IN
797	Wabash, IN	421.1	421.07	398.3	413.2	413.17	412.43	7.9	7.9	Wabash	 IN
798	Warren, IN	366.63	366.6	366.27	364.91	364.88	364.68	1.72	1.72	Warren	 IN
799	Warrick, IN	390.87	390.86	391.26	384.08	384.07	384.82	6.79	6.79	Warrick	 IN
800	Washington, IN	516.57	516.53	515.89	514.45	514.42	513.73	2.12	2.12	Washington	 IN
801	Wayne, IN	404.38	404.34	403.92	403.58	403.57	401.74	0.8	0.78	Wayne	 IN
802	Wells, IN	370.43	370.41	370.2	369.98	369.96	368.09	0.45	0.45	Wells	 IN
803	White, IN	508.82	508.8	506.35	505.25	505.24	505.13	3.57	3.56	White	 IN
804	Whitley, IN	337.91	337.9	335.72	335.53	335.52	335.57	2.38	2.38	Whitley	 IN
805	IOWA	56275.54	56271.55	55965.37	55874.9	55869.36	55857.13	400.64	402.2		
806	Adair, IA	570.33	570.31	569.64	569.33	569.3	569.27	1.0	1.0	Adair	 IA
807	Adams, IA	425.42	425.41	424.95	423.55	423.54	423.44	1.87	1.87	Adams	 IA
808	Allamakee, IA	658.75	658.71	633.37	639.6	639.56	639.08	19.15	19.14	Allamakee	 IA
809	Appanoose, IA	516.39	516.35	497.7	496.28	496.25	497.29	20.11	20.1	Appanoose	 IA
810	Audubon, IA	443.6	443.58	444.47	443.16	443.13	442.96	0.44	0.44	Audubon	 IA
811	Benton, IA	718.52	718.45	718.33	716.46	716.39	716.27	2.06	2.06	Benton	 IA
812	Black Hawk, IA	571.96	571.91	572.79	567.37	567.11	565.77	4.59	4.8	Black Hawk	 IA
813	Boone, IA	573.54	573.51	573.49	571.49	571.46	571.57	2.05	2.05	Boone	 IA
814	Bremer, IA	439.64	439.6	439.22	437.94	437.9	435.48	1.7	1.7	Bremer	 IA
815	Buchanan, IA	573.38	573.35	572.23	571.29	571.26	571.02	2.09	2.09	Buchanan	 IA
816	Buena Vista, IA	580.1	580.07	574.72	574.82	574.78	574.92	5.28	5.28	Buena Vista	 IA
817	Butler, IA	581.6	581.56	581.79	580.42	580.38	580.13	1.18	1.18	Butler	 IA
818	Calhoun, IA	572.33	572.29	571.27	570.2	570.15	569.97	2.13	2.14	Calhoun	 IA
819	Carroll, IA	570.27	570.24	569.98	569.35	569.31	569.44	0.92	0.92	Carroll	 IA
820	Cass, IA	565.03	565.01	564.92	564.35	564.33	564.27	0.68	0.68	Cass	 IA
821	Cedar, IA	582.01	581.96	582.33	579.57	579.52	579.44	2.44	2.44	Cedar	 IA
822	Cerro Gordo, IA	575.18	575.12	569.41	568.43	568.33	568.31	6.75	6.8	Cerro Gordo	 IA
823	Cherokee, IA	577.38	577.34	577.1	577.2	577.15	576.91	0.18	0.18	Cherokee	 IA
824	Chickasaw, IA	505.53	505.48	504.53	504.7	504.64	504.38	0.83	0.84	Chickasaw	 IA
825	Clarke, IA	431.75	431.72	430.99	431.15	431.12	431.17	0.6	0.6	Clarke	 IA
826	Clay, IA	572.56	572.51	568.6	568.93	568.89	567.24	3.63	3.63	Clay	 IA
827	Clayton, IA	792.85	792.81	778.52	778.85	778.81	778.54	14.0	14.0	Clayton	 IA
828	Clinton, IA	710.26	710.19	694.95	695.05	694.98	694.92	15.21	15.21	Clinton	 IA
829	Crawford, IA	715.04	714.99	714.45	714.41	714.36	714.19	0.63	0.63	Crawford	 IA
830	Dallas, IA	591.77	591.73	590.77	586.51	586.47	588.45	5.26	5.26	Dallas	 IA
831	Davis, IA	504.93	504.89	503.97	503.28	503.24	502.19	1.65	1.65	Davis	 IA
832	Decatur, IA	533.36	533.32	535.13	532.25	531.8	531.88	1.11	1.52	Decatur	 IA
833	Delaware, IA	579.08	579.05	577.95	577.88	577.85	577.76	1.2	1.19	Delaware	 IA
834	Des Moines, IA	429.83	429.8	414.0	416.18	416.15	416.12	13.65	13.65	Des Moines	 IA
835	Dickinson, IA	403.71	403.69	380.59	381.07	381.06	380.61	22.64	22.63	Dickinson	 IA
836	Dubuque, IA	616.63	616.56	606.67	608.22	608.16	608.31	8.41	8.41	Dubuque	 IA
837	Emmet, IA	402.4	402.38	393.79	395.77	395.74	395.88	6.63	6.63	Emmet	 IA
838	Fayette, IA	731.47	731.45	731.28	730.98	730.92	730.81	0.49	0.52	Fayette	 IA
839	Floyd, IA	501.33	501.31	501.36	500.59	500.56	500.63	0.74	0.74	Floyd	 IA
840	Franklin, IA	583.06	583.01	582.59	582.49	582.44	581.97	0.57	0.57	Franklin	 IA
841	Fremont, IA	516.79	516.76	514.85	511.32	511.08	511.15	5.47	5.68	Fremont	 IA
842	Greene, IA	571.16	571.13	571.3	568.44	568.41	569.57	2.72	2.72	Greene	 IA
843	Grundy, IA	502.58	502.55	501.3	502.55	502.51	501.86	0.03	0.03	Grundy	 IA
844	Guthrie, IA	593.09	593.06	590.25	590.63	590.6	590.62	2.46	2.46	Guthrie	 IA
845	Hamilton, IA	577.47	577.44	576.3	576.71	576.68	576.75	0.76	0.76	Hamilton	 IA
846	Hancock, IA	573.18	573.14	571.02	571.15	571.11	571.01	2.03	2.03	Hancock	 IA
847	Hardin, IA	569.99	569.93	569.11	569.31	569.26	569.31	0.68	0.68	Hardin	 IA
848	Harrison, IA	700.99	700.93	697.48	696.86	696.72	696.85	4.13	4.2	Harrison	 IA
849	Henry, IA	436.71	436.68	435.92	434.47	434.44	434.33	2.24	2.24	Henry	 IA
850	Howard, IA	473.8	473.76	472.79	473.44	473.4	473.25	0.36	0.36	Howard	 IA
851	Humboldt, IA	435.75	435.73	436.49	434.43	434.41	434.35	1.32	1.31	Humboldt	 IA
852	Ida, IA	432.26	432.23	431.9	431.74	431.71	431.51	0.52	0.52	Ida	 IA
853	Iowa, IA	587.39	587.35	587.24	586.5	586.45	586.46	0.89	0.9	Iowa	 IA
854	Jackson, IA	649.81	649.75	638.02	636.15	636.09	636.04	13.66	13.66	Jackson	 IA
855	Jasper, IA	732.97	732.93	731.27	730.03	729.99	730.42	2.94	2.94	Jasper	 IA
856	Jefferson, IA	436.76	436.72	439.67	435.38	435.34	435.51	1.38	1.38	Jefferson	 IA
857	Johnson, IA	623.41	623.35	614.14	614.54	614.48	614.04	8.87	8.87	Johnson	 IA
858	Jones, IA	576.74	576.7	576.27	575.36	575.31	575.62	1.38	1.39	Jones	 IA
859	Keokuk, IA	579.99	579.94	580.18	579.24	579.19	579.18	0.75	0.75	Keokuk	 IA
860	Kossuth, IA	974.46	974.39	973.94	973.08	973.01	972.72	1.38	1.38	Kossuth	 IA
861	Lee, IA	538.8	538.77	521.92	517.42	517.39	517.52	21.38	21.37	Lee	 IA
862	Linn, IA	724.62	724.55	723.97	717.52	717.44	716.88	7.1	7.1	Linn	 IA
863	Louisa, IA	417.67	417.64	402.04	401.94	401.92	401.77	15.73	15.73	Louisa	 IA
864	Lucas, IA	434.21	434.17	432.49	430.59	430.55	430.59	3.62	3.63	Lucas	 IA
865	Lyon, IA	587.68	587.63	587.75	587.55	587.5	587.65	0.13	0.13	Lyon	 IA
866	Madison, IA	562.33	562.3	562.74	561.17	561.14	561.01	1.16	1.16	Madison	 IA
867	Mahaska, IA	573.45	573.4	571.43	570.95	570.87	570.86	2.5	2.53	Mahaska	 IA
868	Marion, IA	570.58	570.53	560.09	554.26	554.21	554.53	16.32	16.32	Marion	 IA
869	Marshall, IA	573.07	573.02	572.99	572.37	572.32	572.5	0.7	0.7	Marshall	 IA
870	Mills, IA	439.7	439.67	439.22	436.57	436.53	437.44	3.13	3.13	Mills	 IA
871	Mitchell, IA	469.42	469.4	469.5	468.95	468.92	469.13	0.47	0.47	Mitchell	 IA
872	Monona, IA	698.89	698.85	697.07	693.16	693.12	694.07	5.73	5.73	Monona	 IA
873	Monroe, IA	434.14	434.11	433.94	433.44	433.41	433.72	0.7	0.7	Monroe	 IA
874	Montgomery, IA	424.84	424.81	423.79	423.91	423.88	424.1	0.93	0.93	Montgomery	 IA
875	Muscatine, IA	449.09	449.07	441.63	438.69	438.67	437.47	10.4	10.4	Muscatine	 IA
876	O'Brien, IA	573.3	573.25	573.53	573.13	573.08	573.04	0.17	0.17	O'Brien	 IA
877	Osceola, IA	399.52	399.48	398.51	398.8	398.77	398.68	0.72	0.71	Osceola	 IA
878	Page, IA	535.38	535.35	535.27	534.86	534.82	534.94	0.52	0.52	Page	 IA
879	Palo Alto, IA	569.45	569.4	561.72	563.88	563.83	563.84	5.57	5.57	Palo Alto	 IA
880	Plymouth, IA	864.02	863.96	864.05	863.64	863.56	862.89	0.38	0.39	Plymouth	 IA
881	Pocahontas, IA	579.17	579.13	576.92	577.74	577.7	577.24	1.43	1.42	Pocahontas	 IA
882	Polk, IA	591.94	591.9	581.92	569.48	569.35	573.8	22.46	22.55	Polk	 IA
883	Pottawattamie, IA	960.01	959.94	953.34	954.33	954.26	950.28	5.68	5.68	Pottawattamie	 IA
884	Poweshiek, IA	586.22	586.17	585.18	585.07	585.03	584.93	1.15	1.14	Poweshiek	 IA
885	Ringgold, IA	538.96	538.92	535.48	537.71	537.67	535.5	1.25	1.26	Ringgold	 IA
886	Sac, IA	578.42	578.38	576.42	575.83	575.82	575.01	2.59	2.56	Sac	 IA
887	Scott, IA	468.2	468.17	459.11	457.91	457.93	458.09	10.29	10.24	Scott	 IA
888	Shelby, IA	591.4	591.37	590.89	590.91	590.83	590.78	0.49	0.54	Shelby	 IA
889	Sioux, IA	768.65	768.58	768.7	767.95	767.88	768.33	0.7	0.7	Sioux	 IA
890	Story, IA	573.73	573.7	573.54	572.89	572.86	572.82	0.84	0.84	Story	 IA
891	Tama, IA	722.42	722.37	721.43	721.35	721.3	721.01	1.07	1.07	Tama	 IA
892	Taylor, IA	534.85	534.83	537.09	533.98	533.95	531.9	0.87	0.87	Taylor	 IA
893	Union, IA	425.98	425.95	425.8	424.41	424.39	423.65	1.57	1.57	Union	 IA
894	Van Buren, IA	490.59	490.55	483.64	485.25	484.82	484.79	5.34	5.73	Van Buren	 IA
895	Wapello, IA	436.02	435.98	434.18	431.85	431.81	431.83	4.17	4.17	Wapello	 IA
896	Warren, IA	573.24	573.21	572.59	571.68	571.64	569.83	1.56	1.56	Warren	 IA
897	Washington, IA	570.81	570.77	570.07	568.83	568.71	568.84	1.98	2.06	Washington	 IA
898	Wayne, IA	527.12	527.08	526.44	525.64	525.6	525.44	1.48	1.48	Wayne	 IA
899	Webster, IA	718.1	718.05	718.09	715.28	715.23	715.62	2.82	2.82	Webster	 IA
900	Winnebago, IA	401.59	401.57	400.79	400.48	400.47	400.49	1.11	1.1	Winnebago	 IA
901	Winneshiek, IA	689.93	689.88	689.9	689.66	689.61	689.87	0.27	0.27	Winneshiek	 IA
902	Woodbury, IA	877.43	877.39	873.47	872.65	872.59	872.83	4.78	4.79	Woodbury	 IA
903	Worth, IA	401.73	401.71	400.89	400.01	400.0	400.12	1.72	1.71	Worth	 IA
904	Wright, IA	582.58	582.54	578.55	580.76	580.72	580.42	1.82	1.82	Wright	 IA
905	KANSAS	82282.0	82276.84	81778.1	81823.02	81814.88	81758.72	458.98	461.96		
906	Allen, KS	505.24	505.18	505.19	503.07	503.01	500.3	2.17	2.18	Allen	 KS
907	Anderson, KS	584.35	584.29	583.52	582.98	582.92	579.65	1.37	1.38	Anderson	 KS
908	Atchison, KS	435.06	435.04	430.8	432.36	432.34	431.17	2.7	2.7	Atchison	 KS
909	Barber, KS	1136.27	1136.21	1136.37	1134.17	1134.11	1134.07	2.1	2.1	Barber	 KS
910	Barton, KS	900.5	900.46	895.44	894.04	894.0	895.4	6.46	6.46	Barton	 KS
911	Bourbon, KS	638.88	638.82	638.19	637.14	637.09	635.47	1.74	1.73	Bourbon	 KS
912	Brown, KS	572.23	572.2	571.54	570.71	570.67	570.87	1.52	1.52	Brown	 KS
913	Butler, KS	1446.49	1446.42	1443.24	1428.16	1427.85	1429.86	18.33	18.57	Butler	 KS
914	Chase, KS	778.06	778.01	776.96	775.94	775.89	773.06	2.12	2.12	Chase	 KS
915	Chautauqua, KS	644.87	644.83	643.78	641.73	641.69	638.88	3.14	3.14	Chautauqua	 KS
916	Cherokee, KS	591.02	590.96	590.38	587.17	587.12	587.57	3.85	3.85	Cherokee	 KS
917	Cheyenne, KS	1020.89	1020.84	1020.87	1019.94	1019.88	1019.89	0.95	0.95	Cheyenne	 KS
918	Clark, KS	977.27	977.2	975.05	974.75	974.68	974.63	2.52	2.52	Clark	 KS
919	Clay, KS	655.46	655.44	631.54	643.87	643.84	645.3	11.59	11.6	Clay	 KS
920	Cloud, KS	718.51	718.47	717.68	715.67	715.63	715.34	2.84	2.84	Cloud	 KS
921	Coffey, KS	654.63	654.57	614.97	630.27	629.75	626.95	24.36	24.82	Coffey	 KS
922	Comanche, KS	789.75	789.7	788.8	788.36	788.31	788.3	1.39	1.39	Comanche	 KS
923	Cowley, KS	1132.67	1132.6	1127.74	1126.34	1126.24	1125.75	6.33	6.37	Cowley	 KS
924	Crawford, KS	595.11	595.05	594.84	592.98	592.91	589.76	2.13	2.14	Crawford	 KS
925	Decatur, KS	894.23	894.18	893.74	893.6	893.55	893.52	0.63	0.63	Decatur	 KS
926	Dickinson, KS	852.66	852.12	852.12	848.44	847.92	847.07	4.22	4.2	Dickinson	 KS
927	Doniphan, KS	397.1	397.07	387.63	392.21	392.18	393.41	4.89	4.89	Doniphan	 KS
928	Douglas, KS	474.5	474.47	460.76	456.96	456.87	455.87	17.54	17.6	Douglas	 KS
929	Edwards, KS	622.13	622.1	619.58	622.05	622.02	621.89	0.08	0.08	Edwards	 KS
930	Elk, KS	650.41	650.36	650.03	647.86	647.29	644.27	2.55	3.07	Elk	 KS
931	Ellis, KS	900.52	900.47	900.45	900.02	899.97	899.91	0.5	0.5	Ellis	 KS
932	Ellsworth, KS	723.47	723.44	716.98	715.93	715.91	715.85	7.54	7.54	Ellsworth	 KS
933	Finney, KS	1302.69	1302.62	1302.12	1300.16	1301.77	1301.97	2.53	0.84	Finney	 KS
934	Ford, KS	1099.35	1099.29	1098.73	1098.56	1098.5	1098.27	0.79	0.79	Ford	 KS
935	Franklin, KS	576.7	576.65	577.23	573.9	573.85	571.76	2.8	2.8	Franklin	 KS
936	Geary, KS	403.95	404.39	376.88	384.27	384.69	384.62	19.68	19.7	Geary	 KS
937	Gove, KS	1071.55	1071.47	1071.81	1071.46	1071.38	1071.67	0.09	0.09	Gove	 KS
938	Graham, KS	898.72	898.67	898.46	898.34	898.29	898.52	0.38	0.38	Graham	 KS
939	Grant, KS	575.1	575.04	575.17	574.92	574.86	574.8	0.18	0.18	Grant	 KS
940	Gray, KS	869.39	869.34	867.62	868.95	868.9	868.87	0.44	0.44	Gray	 KS
941	Greeley, KS	778.05	778.01	778.37	778.05	778.01	778.45	0.0	0.0	Greeley	 KS
942	Greenwood, KS	1152.66	1152.59	1134.71	1139.82	1139.67	1143.3	12.84	12.92	Greenwood	 KS
943	Hamilton, KS	997.66	997.62	997.54	996.53	996.49	996.51	1.13	1.13	Hamilton	 KS
944	Harper, KS	803.0	802.95	802.06	801.49	801.44	801.27	1.51	1.51	Harper	 KS
945	Harvey, KS	540.54	540.5	540.41	539.43	539.33	539.75	1.11	1.17	Harvey	 KS
946	Haskell, KS	577.75	577.73	577.65	577.39	577.37	577.52	0.36	0.36	Haskell	 KS
947	Hodgeman, KS	860.29	860.24	860.4	859.97	859.92	859.99	0.32	0.32	Hodgeman	 KS
948	Jackson, KS	657.9	657.86	657.54	656.86	655.59	656.22	1.04	2.27	Jackson	 KS
949	Jefferson, KS	556.98	556.94	535.36	536.15	536.11	532.57	20.83	20.83	Jefferson	 KS
950	Jewell, KS	914.51	914.47	909.66	909.22	909.18	909.78	5.29	5.29	Jewell	 KS
951	Johnson, KS	480.18	480.15	477.89	476.78	476.78	473.38	3.4	3.37	Johnson	 KS
952	Kearny, KS	871.57	871.5	867.68	870.05	871.06	870.54	1.52	0.44	Kearny	 KS
953	Kingman, KS	866.75	866.7	865.43	863.72	863.35	863.36	3.03	3.35	Kingman	 KS
954	Kiowa, KS	722.67	722.62	722.77	722.44	722.39	722.64	0.23	0.23	Kiowa	 KS
955	Labette, KS	653.36	653.3	652.8	648.91	648.82	645.3	4.45	4.48	Labette	 KS
956	Lane, KS	717.48	717.43	717.41	717.27	717.22	717.46	0.21	0.21	Lane	 KS
957	Leavenworth, KS	468.36	468.33	462.62	463.3	463.27	462.83	5.06	5.06	Leavenworth	 KS
958	Lincoln, KS	719.97	719.94	719.67	718.9	718.87	719.4	1.07	1.07	Lincoln	 KS
959	Linn, KS	606.35	606.29	600.79	598.77	598.67	594.06	7.58	7.62	Linn	 KS
960	Logan, KS	1073.17	1073.09	1073.22	1073.06	1072.99	1072.99	0.11	0.11	Logan	 KS
961	Lyon, KS	855.21	855.14	844.41	850.99	850.87	847.47	4.22	4.27	Lyon	 KS
962	McPherson, KS	901.29	901.24	900.26	899.81	899.71	898.27	1.48	1.52	McPherson	 KS
963	Marion, KS	953.59	953.54	944.13	943.16	943.11	944.29	10.43	10.43	Marion	 KS
964	Marshall, KS	904.41	904.36	877.59	902.63	902.53	900.18	1.78	1.83	Marshall	 KS
965	Meade, KS	979.72	979.66	978.61	978.48	978.42	978.09	1.24	1.24	Meade	 KS
966	Miami, KS	590.2	590.15	589.8	576.76	576.72	575.66	13.44	13.43	Miami	 KS
967	Mitchell, KS	718.65	718.62	717.37	699.92	699.82	701.79	18.73	18.8	Mitchell	 KS
968	Montgomery, KS	651.45	651.4	645.77	645.26	645.2	643.53	6.19	6.19	Montgomery	 KS
969	Morris, KS	702.9	702.84	692.73	697.44	697.38	695.28	5.46	5.46	Morris	 KS
970	Morton, KS	729.99	729.94	731.13	729.97	729.92	729.73	0.02	0.02	Morton	 KS
971	Nemaha, KS	719.43	719.4	718.59	719.07	717.99	717.43	0.36	1.41	Nemaha	 KS
972	Neosho, KS	578.09	578.02	576.12	571.92	571.75	571.47	6.17	6.27	Neosho	 KS
973	Ness, KS	1075.07	1075.0	1074.47	1074.81	1074.75	1074.75	0.26	0.26	Ness	 KS
974	Norton, KS	881.42	881.39	872.79	877.87	877.84	878.13	3.55	3.55	Norton	 KS
975	Osage, KS	719.29	719.23	694.87	703.6	703.5	705.52	15.69	15.72	Osage	 KS
976	Osborne, KS	894.31	894.28	881.78	892.61	892.39	892.5	1.7	1.89	Osborne	 KS
977	Ottawa, KS	721.94	721.9	720.74	721.18	721.11	720.73	0.76	0.79	Ottawa	 KS
978	Pawnee, KS	754.6	754.56	754.84	754.22	754.17	754.26	0.38	0.38	Pawnee	 KS
979	Phillips, KS	894.84	894.81	886.71	886.26	886.23	885.88	8.58	8.58	Phillips	 KS
980	Pottawatomie, KS	862.12	862.07	827.71	844.29	844.24	841.02	17.83	17.83	Pottawatomie	 KS
981	Pratt, KS	735.79	735.76	735.17	735.03	734.99	735.05	0.76	0.76	Pratt	 KS
982	Rawlins, KS	1069.79	1069.72	1069.36	1069.68	1069.62	1069.42	0.11	0.11	Rawlins	 KS
983	Reno, KS	1271.33	1271.25	1258.75	1254.51	1254.42	1255.35	16.82	16.84	Reno	 KS
984	Republic, KS	720.36	720.31	718.58	716.55	716.38	717.37	3.81	3.93	Republic	 KS
985	Rice, KS	728.33	728.3	728.06	726.61	726.58	726.24	1.72	1.72	Rice	 KS
986	Riley, KS	622.15	622.11	593.1	609.64	609.55	609.77	12.51	12.55	Riley	 KS
987	Rooks, KS	895.4	895.36	888.48	888.38	888.34	890.53	7.02	7.02	Rooks	 KS
988	Rush, KS	718.45	718.42	717.99	718.24	718.21	717.76	0.21	0.21	Rush	 KS
989	Russell, KS	899.03	898.98	869.34	884.74	884.68	886.26	14.29	14.3	Russell	 KS
990	Saline, KS	721.32	721.28	721.23	719.65	719.61	720.23	1.67	1.67	Saline	 KS
991	Scott, KS	717.7	717.64	717.54	717.58	717.52	717.54	0.12	0.12	Scott	 KS
992	Sedgwick, KS	1009.48	1009.41	1007.24	1000.25	999.38	997.51	9.23	10.03	Sedgwick	 KS
993	Seward, KS	640.55	640.51	640.09	639.56	639.52	639.5	0.99	0.99	Seward	 KS
994	Shawnee, KS	556.35	556.32	548.77	549.85	549.82	544.02	6.5	6.5	Shawnee	 KS
995	Sheridan, KS	896.66	896.61	896.13	896.41	896.36	895.96	0.25	0.25	Sheridan	 KS
996	Sherman, KS	1056.08	1056.01	1056.88	1055.87	1055.8	1056.07	0.21	0.21	Sherman	 KS
997	Smith, KS	896.56	896.53	896.87	895.46	895.43	895.47	1.1	1.1	Smith	 KS
998	Stafford, KS	794.77	794.72	787.56	792.1	792.05	792.05	2.67	2.67	Stafford	 KS
999	Stanton, KS	680.12	680.06	680.65	680.06	680.0	680.35	0.06	0.06	Stanton	 KS
1000	Stevens, KS	727.78	727.71	727.49	727.6	727.53	727.29	0.18	0.18	Stevens	 KS
1001	Sumner, KS	1184.86	1184.78	1183.46	1181.89	1181.81	1181.94	2.97	2.98	Sumner	 KS
1002	Thomas, KS	1074.97	1074.9	1074.62	1074.86	1074.78	1074.69	0.11	0.11	Thomas	 KS
1003	Trego, KS	899.09	899.02	890.34	888.36	888.29	889.48	10.73	10.73	Trego	 KS
1004	Wabaunsee, KS	799.86	799.8	797.13	797.46	797.38	794.3	2.4	2.41	Wabaunsee	 KS
