,FIPS,Name,State,Latitudes,Longitudes
229,20161,Riley,KS,39.29888529999999,-96.8308436
230,20169,Saline,KS,38.8174853,-97.69822719999999
231,20173,Sedgwick,KS,37.9166784,-97.422541
232,20193,Thomas,KS,39.3702882,-101.0711758
233,21003,Allen,KY,37.6100457,-82.7279705
234,21015,Boone,KY,38.9940572,-84.7315563
235,21019,Boyd,KY,38.3833265,-82.6915429
236,21023,Bracken,KY,38.7117016,-84.05902900000001
237,21029,Bullitt,KY,37.9842107,-85.684578
238,21033,Caldwell,KY,37.1501019,-87.89424509999999
239,21035,Calloway,KY,36.6402766,-88.28504199999999
240,21047,Christian,KY,36.8410586,-87.460397
241,21049,Clark,KY,37.959945,-84.14351359999999
242,21059,Daviess,KY,37.7307984,-87.10237459999999
243,21067,Fayette,KY,38.06064780000001,-84.4802606
244,21079,Garrard,KY,37.6413234,-84.56414699999999
245,21093,Hardin,KY,36.7647773,-88.2953134
246,21095,Harlan,KY,36.8431441,-83.321848
247,21111,Jefferson,KY,38.1938097,-85.64348700000001
248,21113,Jessamine,KY,37.895573,-84.56414699999999
249,21115,Johnson,KY,37.8048335,-82.8640623
250,21117,Kenton,KY,38.9863872,-84.56414699999999
251,21121,Knox,KY,36.9260578,-83.8897057
252,21125,Laurel,KY,37.0693489,-84.1857115
253,21151,Madison,KY,37.7143001,-84.3121264
254,21157,Marshall,KY,36.8573767,-88.4016041
255,21163,Meade,KY,37.9601502,-86.21584969999999
256,21165,Menifee,KY,37.9335368,-83.63484299999999
257,21177,Muhlenberg,KY,37.17725009999999,-87.14228949999999
258,21185,Oldham,KY,38.3560025,-85.47880649999999
259,21193,Perry,KY,37.3160706,-83.2077645
260,21199,Pulaski,KY,37.0853508,-84.5222189
261,21203,Rockcastle,KY,37.3743065,-84.3121264
262,21205,Rowan,KY,38.177068,-83.46435509999999
263,21209,Scott,KY,38.3172361,-84.56414699999999
264,21217,Taylor,KY,37.332884,-85.31362179999999
265,21227,Warren,KY,36.9886043,-86.49965460000001
266,21229,Washington,KY,38.6161549,-83.80849719999999
267,21235,Whitley,KY,36.726335,-84.1857115
268,22005,Ascension,LA,30.2017295,-90.9438468
269,22017,Caddo,LA,32.7565316,-93.9737925
270,22019,Calcasieu,LA,30.2089286,-93.33889169999999
271,22025,Catahoula,LA,30.214444,-91.708889
272,22033,East Baton Rouge,LA,30.5693593,-91.09693999999999
273,22043,Grant,LA,30.7885279,-92.9484868
274,22045,Iberia,LA,29.4992629,-91.7538817
275,22051,Jefferson,LA,29.96603709999999,-90.1531298
276,22053,Jefferson Davis,LA,30.2672346,-92.8178291
277,22061,Lincoln,LA,32.598888,-92.6983868
278,22071,Orleans,LA,29.95106579999999,-90.0715323
279,22075,Plaquemines,LA,30.2890833,-91.23427439999999
280,22077,Pointe Coupee,LA,30.6102166,-91.5983959
281,22089,St Charles,LA,29.9273657,-90.3371889
282,22095,St John the Baptist,LA,30.1118331,-90.4879916
283,22099,St Martin,LA,30.2395901,-91.7538817
284,22101,St Mary,LA,29.502976,-91.44346900000001
285,22103,St Tammany,LA,30.4357418,-89.9253233
286,22105,Tangipahoa,LA,30.8760151,-90.5120391
287,22113,Vermilion,LA,29.8601413,-92.38136209999999
288,23001,Androscoggin,ME,44.19124160000001,-70.17070369999999
289,23003,Aroostook,ME,46.819941,-68.4766064
290,23005,Cumberland,ME,43.796573,-70.2585205
291,23007,Franklin,ME,44.5874877,-68.23160539999999
292,23009,Hancock,ME,44.5291357,-68.2537463
293,23011,Kennebec,ME,44.4499153,-69.7038278
294,23013,Knox,ME,44.517294,-69.21337489999999
295,23017,Oxford,ME,44.1317459,-70.4931557
296,23019,Penobscot,ME,44.4645202,-68.7111394
297,23021,Piscataquis,ME,45.70498569999999,-69.3375071
298,23023,Sagadahoc,ME,43.8171265,-69.7825531
299,23025,Somerset,ME,45.5913402,-69.9999212
300,23027,Waldo,ME,44.5125736,-69.07614830000001
301,23029,Washington,ME,44.2735583,-69.3676576
302,23031,York,ME,43.16174830000001,-70.6482581
303,24001,Allegany,MD,39.6255251,-78.6114999
304,24003,Anne Arundel,MD,38.9530109,-76.5488232
305,24005,Baltimore,MD,39.2903848,-76.6121893
306,24009,Calvert,MD,38.49495030000001,-76.5025742
307,24015,Cecil,MD,39.5739403,-75.94632399999999
308,24017,Charles,MD,38.5221781,-77.10249019999999
309,24019,Dorchester,MD,38.4152819,-76.17837390000001
310,24021,Frederick,MD,39.41426879999999,-77.4105409
311,24023,Garrett,MD,39.5681243,-79.29021329999999
312,24025,Harford,MD,39.5838964,-76.3637285
313,24027,Howard,MD,39.2873463,-76.964306
314,24029,Kent,MD,39.2713804,-76.1319953
315,24031,Montgomery,MD,39.1547426,-77.2405153
316,24033,Prince Georges,MD,38.78492110000001,-76.8720961
317,24037,St Marys,MD,38.1060259,-76.3637285
318,24039,Somerset,MD,38.9659438,-77.0960893
319,24041,Talbot,MD,38.7803973,-76.1319953
320,24043,Washington,MD,39.641762,-77.719993
321,24045,Wicomico,MD,38.3941813,-75.667356
322,24047,Worcester,MD,38.1584227,-75.4344727
323,24510,Baltimore City,MD,39.2903848,-76.6121893
324,25001,Barnstable,MA,41.7003208,-70.3002024
325,25003,Berkshire,MA,42.311782,-73.1821623
326,25005,Bristol,MA,41.7938406,-71.1448516
327,25009,Essex,MA,42.63195820000001,-70.7829315
328,25011,Franklin,MA,42.0834313,-71.396725
329,25013,Hampden,MA,42.0639841,-72.4134167
330,25015,Hampshire,MA,42.3471357,-72.6624209
331,25017,Middlesex,MA,42.467206,-71.2874209
332,25021,Norfolk,MA,42.1195426,-71.3250563
333,25023,Plymouth,MA,41.9584457,-70.6672621
334,25025,Suffolk,MA,42.3522866,-71.0504229
335,25027,Worcester,MA,42.2625932,-71.8022934
336,26005,Allegan,MI,42.5291989,-85.8553031
337,26009,Antrim,MI,44.9730441,-85.1769095
338,26017,Bay,MI,43.7109732,-84.01674229999999
339,26021,Berrien,MI,42.0320742,-86.7416374
340,26025,Calhoun,MI,42.2073905,-85.02334599999999
341,26037,Clinton,MI,42.0719866,-83.9716095
342,26047,Emmet,MI,45.6418969,-84.9769067
343,26049,Genesee,MI,43.0777289,-83.67739279999999
344,26051,Gladwin,MI,43.9808549,-84.48640069999999
345,26057,Gratiot,MI,43.2836505,-84.68974949999999
346,26059,Hillsdale,MI,41.9200472,-84.6305101
347,26065,Ingham,MI,42.6468943,-84.3542049
348,26067,Ionia,MI,42.9872547,-85.07111739999999
349,26077,Kalamazoo,MI,42.2917069,-85.5872286
350,26079,Kalkaska,MI,44.7352042,-85.18422269999999
351,26081,Kent,MI,43.0097027,-85.52002399999999
352,26087,Lapeer,MI,43.0514161,-83.31883409999999
353,26091,Lenawee,MI,41.8433859,-84.01674229999999
354,26093,Livingston,MI,42.6207951,-83.8473015
355,26099,Macomb,MI,42.6651965,-82.92864279999999
356,26101,Manistee,MI,44.2444473,-86.324253
357,26103,Marquette,MI,46.5436199,-87.3953713
358,26109,Menominee,MI,45.10776269999999,-87.6142737
359,26111,Midland,MI,43.6155825,-84.2472116
360,26115,Monroe,MI,41.9164343,-83.3977101
361,26123,Newaygo,MI,43.4197429,-85.80005059999999
362,26125,Oakland,MI,42.59219239999999,-83.33618799999999
363,26129,Ogemaw,MI,44.3270741,-84.1857115
364,26133,Osceola,MI,43.92572790000001,-85.35496499999999
